Nume_Actiune,Timestamp
S-a adaugat o comanda noua! ,25/05/2021 00:22:00
S-a sters comanda 1 !,25/05/2021 00:22:00
S-a adaugat o comanda noua! ,25/05/2021 00:24:31
S-a sters comanda 1 !,25/05/2021 00:24:31
S-a adaugat o comanda noua! ,25/05/2021 00:25:30
S-a sters comanda 1 !,25/05/2021 00:25:30
S-a adaugat o comanda noua! ,25/05/2021 00:26:37
S-a sters comanda 1 !,25/05/2021 00:26:37
S-a adaugat o comanda noua! ,25/05/2021 00:27:01
S-a sters comanda 1 !,25/05/2021 00:27:01
S-a adaugat o comanda noua! ,25/05/2021 01:20:38
S-a adaugat o comanda noua! ,25/05/2021 01:22:05
S-a adaugat o comanda noua! ,25/05/2021 01:24:20
S-a adaugat o comanda noua! ,25/05/2021 01:26:41
S-a adaugat o comanda noua! ,25/05/2021 01:27:30
S-a adaugat o comanda noua! ,25/05/2021 01:28:20
S-a adaugat o comanda noua! ,25/05/2021 01:30:54
S-a adaugat o comanda noua! ,25/05/2021 01:31:37
S-a sters comanda 1 !,25/05/2021 01:31:37
S-a adaugat o comanda noua! ,25/05/2021 01:38:15
S-a sters comanda 1 !,25/05/2021 01:38:15
S-a adaugat o comanda noua! ,25/05/2021 01:38:15
S-a adaugat o comanda noua! ,25/05/2021 01:51:46
S-a adaugat o comanda noua! ,25/05/2021 01:52:45
S-a adaugat o comanda noua! ,25/05/2021 01:53:40
S-a adaugat o comanda noua! ,25/05/2021 01:56:35
S-a realizat o comanda si a scazut capacitatea cu -1 ! ,25/05/2021 01:56:35
S-a adaugat o comanda noua! ,25/05/2021 02:05:40
S-a realizat o comanda si a scazut capacitatea cu -1 ! ,25/05/2021 02:05:40
S-a adaugat o comanda noua! ,25/05/2021 02:10:38
S-a realizat o comanda si a scazut capacitatea cu -1 ! ,25/05/2021 02:10:38
S-a adaugat o comanda noua! ,25/05/2021 02:13:48
S-a realizat o comanda si a scazut capacitatea cu -1 ! ,25/05/2021 02:13:48
